facility_name,index,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
CLSC PÈRE-DANIEL,S1142,CLSC,Ambulatory health care services,Province of Québec,,939, rue Père-Daniel,G9A 2W9,Trois-Rivières,qc,"939, rue Père-Daniel",Trois-Rivières,2437067,24,46.334032,-72.559277
CLSC DE PORTNEUF,S1143,CLSC,Ambulatory health care services,Province of Québec,,655, avenue de l'Église,G0A 2Y0,Portneuf,qc,"655, avenue de l'Église",Portneuf,2434048,24,46.710177,-71.888295
CLSC DE PIEDMONT,S1144,CLSC,Ambulatory health care services,Province of Québec,,694, chemin Avila,J0R 1R3,Piedmont,qc,"694, chemin Avila",Piedmont,2477030,24,45.888385,-74.145088
CLSC DE MOFFET,S1145,CLSC,Ambulatory health care services,Province of Québec,,14-A, rue Principale,J0Z 2W0,Moffet,qc,"14-A, rue Principale",Moffet,2485075,24,47.543261,-78.952045
CLSC DE NOTRE-DAME-DU-NORD,S1146,CLSC,Ambulatory health care services,Province of Québec,,17-A, rue Principale Nord,J0Z 3B0,Notre-Dame-du-Nord,qc,"17-A, rue Principale Nord",Notre-Dame-du-Nord,2485090,24,47.594419,-79.483438
CLSC SAINT-CHARLES,S1147,CLSC,Ambulatory health care services,Province of Québec,,162, rue Saint-Charles Sud,J2G 7A4,Granby,qc,"162, rue Saint-Charles Sud",Granby,2447017,24,45.397702,-72.735089
HOPITAL DE JOUR L'ENVOL,S1148,CHPSY,Hospitals,Province of Québec,,6625, boulevard Lasalle,H4H 1R2,Montréal,qc,"6625, boulevard Lasalle",Montréal,2466023,24,45.444268,-73.581796
HÔPITAL DE MATANE,S1149,CHSGS,Hospitals,Province of Québec,,333, rue Thibault,G4W 2W5,Matane,qc,"333, rue Thibault",Matane,2408053,24,48.843566,-67.524416
Shannex Rlc Ltd. - Frederick Hall,S115,,Nursing and residential care facilities,Province of New Brunswick,,379, Rainsford Lane,E3B 0K4,Fredericton,nb,"379, Rainsford Lane",Fredericton,1310032,13,45.952052,-66.697323
CLSC DE BROMONT,S1150,CLSC,Ambulatory health care services,Province of Québec,,82, boulevard de Bromont,J2L 2K3,Bromont,qc,"82, boulevard de Bromont",Bromont,2446078,24,45.323273,-72.646413
CLSC DE L'ÉTABLISSEMENT-DE-DÉTENTION,S1151,CLSC,Ambulatory health care services,Province of Québec,,2, boulevard de la Salette,J7Y 5G5,Saint-Jérôme,qc,"2, boulevard de la Salette",Saint-Jérôme,2475017,24,45.800741,-74.017679
CLSC DE CADILLAC,S1152,CLSC,Ambulatory health care services,Province of Québec,,52, rue de Cadillac,J0Y 1C0,Rouyn-Noranda,qc,"52, rue de Cadillac",Rouyn-Noranda,2486042,24,48.223799,-78.383854
CLSC DE CLÉRICY,S1153,CLSC,Ambulatory health care services,Province of Québec,,883, rue du Rivage,J0Z 1P0,Rouyn-Noranda,qc,"883, rue du Rivage",Rouyn-Noranda,2486042,24,48.363979,-78.862713
CLSC DE MONTBEILLARD,S1154,CLSC,Ambulatory health care services,Province of Québec,,9632, boulevard Rideau,J0Z 2X0,Rouyn-Noranda,qc,"9632, boulevard Rideau",Rouyn-Noranda,2486042,24,48.045651,-79.259618
CLSC DE DESTOR,S1155,CLSC,Ambulatory health care services,Province of Québec,,7182, rang du Parc,J9Y 0C8,Rouyn-Noranda,qc,"7182, rang du Parc",Rouyn-Noranda,2486042,24,48.459728,-78.955783
CLSC DE LAFORCE,S1156,CLSC,Ambulatory health care services,Province of Québec,,711, chemin du Village,J0Z 2J0,Laforce,qc,"711, chemin du Village",Laforce,2485070,24,47.536631,-78.724998
CLSC DE BELLETERRE,S1157,CLSC,Ambulatory health care services,Province of Québec,,72, 3e Rue,J0Z 1L0,Belleterre,qc,"72, 3e Rue",Belleterre,2485065,24,47.389384,-78.703439
CLSC DE LATULIPE,S1158,CLSC,Ambulatory health care services,Province of Québec,,5, rue du carrefour Nord,J0Z 2N0,Latulipe-et-Gaboury,qc,"5, rue du carrefour Nord",Latulipe-et-Gaboury,2485060,24,47.429355,-79.031944
CLSC DE L'ISLE-VERTE,S1159,CLSC,Ambulatory health care services,Province of Québec,,25, rue du Quai,G0L 1K0,L'Isle-Verte,qc,"25, rue du Quai",L'Isle-Verte,2412043,24,48.017052,-69.335508
Tobique Valley Manor Inc.,S116,,Nursing and residential care facilities,Province of New Brunswick,,5, Manor Drive,E7G 2H6,Plaster Rock,nb,"5, Manor Drive",Plaster Rock,1312009,13,46.898037,-67.39656
HÔTEL-DIEU DU CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,S1160,CHSGS,Hospitals,Province of Québec,,3840, rue Saint-Urbain,H2W 1T8,Montréal,qc,"3840, rue Saint-Urbain",Montréal,2466023,24,45.513942,-73.578112
CLSC DE BENNY FARM,S1161,CLSC,Ambulatory health care services,Province of Québec,,6484, avenue de Monkland,H4B 1H3,Montréal,qc,"6484, avenue de Monkland",Montréal,2466023,24,45.465542,-73.631433
CLSC DE SAINT-POLYCARPE,S1162,CLSC,Ambulatory health care services,Province of Québec,,11, chemin de la Cité-des-Jeunes,J0P 1X0,Saint-Polycarpe,qc,"11, chemin de la Cité-des-Jeunes",Saint-Polycarpe,2471020,24,45.300395,-74.299053
CLSC DE VARENNES,S1163,CLSC,Ambulatory health care services,Province of Québec,,2082, route Marie-Victorin,J3X 2C7,Varennes,qc,"2082, route Marie-Victorin",Varennes,2459020,24,45.679616,-73.438367
CLSC DE SAINT-AMABLE,S1164,CLSC,Ambulatory health care services,Province of Québec,,555, rue Principale,J0L 1N0,Saint-Amable,qc,"555, rue Principale",Saint-Amable,2459015,24,45.643515,-73.306865
CLSC UNION,S1165,CLSC,Ambulatory health care services,Province of Québec,,2021, avenue Union,H3A 2S9,Montréal,qc,"2021, avenue Union",Montréal,2466023,24,45.505146,-73.571268
CLSC DE MARSOUI,S1166,CLSC,Ambulatory health care services,Province of Québec,,8, rue Principale Est,G0E 1S0,Marsoui,qc,"8, rue Principale Est",Marsoui,2404025,24,49.21495,-66.067007
CLSC ROBINSON-SUD,S1167,CLSC,Ambulatory health care services,Province of Québec,,90, rue Robinson Sud,J2G 7L4,Granby,qc,"90, rue Robinson Sud, bureau 101",Granby,2447017,24,45.40478,-72.744039
MAISON DE NAISSANCE DU FJORD-AU-LAC,S1168,CLSC,Ambulatory health care services,Province of Québec,,282, rue Saint-Vallier,G7H 4J1,Saguenay,qc,"282, rue Saint-Vallier",Saguenay,2494068,24,48.426994,-71.050569
MSDC CHISASIBI,S1169,CLSC,Ambulatory health care services,Province of Québec,,26, rue Salt,J0M 1E0,Chisasibi,qc,"26, rue Salt",Chisasibi,2499814,24,53.776273,-78.880462
Victoria Glen Manor Inc.,S117,,Nursing and residential care facilities,Province of New Brunswick,,20, Tepper Lane,E7H 0B8,Perth-Andover,nb,"20, Tepper Lane",Perth-Andover,1312006,13,46.747333,-67.718362
MSDC EASTMAIN,S1170,CLSC,Ambulatory health care services,Province of Québec,,61, rue Nouchimi,J0M 1W0,Eastmain,qc,"61, rue Nouchimi",Eastmain,2499810,24,52.243059,-78.5016
MSDC MISTISSINI,S1171,CLSC,Ambulatory health care services,Province of Québec,,304, rue Queen,G0W 1C0,Mistissini,qc,"304, rue Queen",Mistissini,2499804,24,50.412677,-73.866247
MSDC NEMASKA,S1172,CLSC,Ambulatory health care services,Province of Québec,,20, rue Bedabin,J0Y 3B0,Nemaska,qc,"20, rue Bedabin",Nemaska,2499808,24,51.677681,-76.259021
MSDC WASKAGANISH,S1173,CLSC,Ambulatory health care services,Province of Québec,,8, Cowboy Trail,J0M 1R0,Waskaganish,qc,"8, Cowboy Trail",Waskaganish,2499806,24,51.488298,-78.746151
MSDC WASWANIPI,S1174,CLSC,Ambulatory health care services,Province of Québec,,3, rue West Aspen,J0Y 3C0,Waswanipi,qc,"3, rue West Aspen",Waswanipi,2499010,24,49.692639,-75.962268
MSDC WEMINDJI,S1175,CLSC,Ambulatory health care services,Province of Québec,,27, rue Gilpin,J0M 1L0,Wemindji,qc,"27, rue Gilpin",Wemindji,2499812,24,52.998998,-78.812776
MSDC WHAPMAGOOSTUI,S1176,CLSC,Ambulatory health care services,Province of Québec,,423, rue Whapmakw,J0M 1G0,Whapmagoostui,qc,"423, rue Whapmakw",Kuujjuarapik,2499075,24,55.277992,-77.761258
MSDC OUJE-BOUGOUMOU,S1177,CLSC,Ambulatory health care services,Province of Québec,,7, rue Wastawshkootaw,G0W 3C0,Oujé-Bougoumou,qc,"7, rue Wastawshkootaw",Oujé-Bougoumou,2499818,24,49.92214,-74.825539
CLSC DU CENTRE-DE-LA-MAURICIE,S1178,CLSC,Ambulatory health care services,Province of Québec,,1082, rue Sainte-Hélène,G9N 0E6,Shawinigan,qc,"1082, rue Sainte-Hélène",Shawinigan,2436033,24,46.552594,-72.747614
CLSC DE SAINT-JÉRÔME,S1179,CLSC,Ambulatory health care services,Province of Québec,,161, de la Gare,J7Z 2B9,Saint-Jérôme,qc,"161, de la Gare",Saint-Jérôme,2475017,24,45.77685,-74.000988
Wauklehegan Manor Inc.,S118,,Nursing and residential care facilities,Province of New Brunswick,,11, Saunders Road,E6J 1K9,McAdam,nb,"11, Saunders Road",McAdam,1310006,13,45.585313,-67.335135
HÔPITAL D'ALMA,S1180,CHSGS,Hospitals,Province of Québec,,300, boulevard Champlain Sud,G8B 5W3,Alma,qc,"300, boulevard Champlain Sud",Alma,2493042,24,48.55062,-71.665075
CLSC DE LA RUE CHASLES,S1181,CLSC,Ambulatory health care services,Province of Québec,,471, rue Chasles,J9L 2V2,Mont-Laurier,qc,"471, rue Chasles",Mont-Laurier,2479088,24,46.552221,-75.497506
CLSC SAINT-ANTOINE,S1182,CLSC,Ambulatory health care services,Province of Québec,,480, 5e Rue,J7Z 0H6,Saint-Jérôme,qc,"480, 5e Rue",Saint-Jérôme,2475017,24,45.763402,-73.996275
CLSC DE SAINTE-AGATHE-DES-MONTS,S1183,CLSC,Ambulatory health care services,Province of Québec,,2, rue Préfontaine,J8C 1C3,Sainte-Agathe-des-Monts,qc,"2, rue Préfontaine",Sainte-Agathe-des-Monts,2478032,24,46.049501,-74.289013
CLSC DE SAINT-CÉSAIRE,S1184,CLSC,Ambulatory health care services,Province of Québec,,1394, rue Notre-Dame,J0L 1T0,Saint-Césaire,qc,"1394, rue Notre-Dame",Saint-Césaire,2455023,24,45.408873,-73.002952
CLSC DU RICHELIEU,S1185,CLSC,Ambulatory health care services,Province of Québec,,300, chemin de Marieville,J3L 3V8,Richelieu,qc,"300, chemin de Marieville",Richelieu,2455057,24,45.437737,-73.244989
MAISON DE NAISSANCE JEANNE-MANCE,S1186,CLSC,Ambulatory health care services,Province of Québec,,1822-1828, rue Ontario Est,H2K 1T7,Montréal,qc,"1822-1828, rue Ontario Est",Montréal,2466023,24,45.526093,-73.558727
CLSC DE GODBOUT,S1187,CLSC,Ambulatory health care services,Province of Québec,,101, rue Levack,G0H 1G0,Godbout,qc,"101, rue Levack",Godbout,2496010,24,49.319593,-67.598706
CLSC DE FRANQUELIN,S1188,CLSC,Ambulatory health care services,Province of Québec,,5, rue des Cèdres,G0H 1E0,Franquelin,qc,"5, rue des Cèdres",Franquelin,2496015,24,49.292738,-67.902684
CLSC DE BLANC-SABLON,S1189,CLSC,Ambulatory health care services,Province of Québec,,1077, boulevard Docteur-Camille-Marcoux,G0G 1W0,Blanc-Sablon,qc,"1077, boulevard Docteur-Camille-Marcoux",Blanc-Sablon,2498005,24,51.412501,-57.203118
White Rapids Manor Inc.,S119,,Nursing and residential care facilities,Province of New Brunswick,,235, Sunbury Drive,E5L 1S1,Fredericton Junction,nb,"235, Sunbury Drive",Fredericton Junction,1303006,13,45.662063,-66.610186
CLSC DE VAL-D'OR,S1190,CLSC,Ambulatory health care services,Province of Québec,,735, 6e Rue,J9P 3Y1,Val-d'Or,qc,"735, 6e Rue",Val-d'Or,2489008,24,48.096799,-77.797188
CLSC DE SACRÉ-COEUR,S1191,CLSC,Ambulatory health care services,Province of Québec,,55, rue Lévesque,G0T 1Y0,Sacré-Coeur,qc,"55, rue Lévesque",Sacré-Coeur,2495010,24,48.231665,-69.800087
CLSC DU PAVILLON-DE-LA-SANTÉ,S1192,CLSC,Ambulatory health care services,Province of Québec,,3351, boulevard des Forges,G8Z 4M3,Trois-Rivières,qc,"3351, boulevard des Forges",Trois-Rivières,2437067,24,46.348038,-72.577779
CLSC DE HAM-NORD,S1193,CLSC,Ambulatory health care services,Province of Québec,,285, 1ère Avenue,G0P 1A0,Ham-Nord,qc,"285, 1ère Avenue",Ham-Nord,2439010,24,45.902765,-71.646797
CLSC ÎLE-DES-SŒURS,S1194,CLSC,Ambulatory health care services,Province of Québec,,1, Place du Commerce,H3E 1A1,Montréal,qc,"1, Place du Commerce",Montréal,2466023,24,45.468517,-73.545706
CLSC DE LA PINIÈRE,S1195,CLSC,Ambulatory health care services,Province of Québec,,3195, boulevard de la Pinière,J6X 4P7,Terrebonne,qc,"3195, boulevard de la Pinière",Terrebonne,2464008,24,45.722956,-73.686895
AIRE OUVERTE DE SEPT-ÎLES,S1196,CLSC,Ambulatory health care services,Province of Québec,,500, avenue Jolliet,G4R 2B4,Sept-Îles,qc,"500, avenue Jolliet",Sept-Îles,2497007,24,50.212708,-66.377094
CLSC DE TADOUSSAC,S1197,CLSC,Ambulatory health care services,Province of Québec,,162, rue des Jésuites,G0T 2A0,Tadoussac,qc,"162, rue des Jésuites",Tadoussac,2495005,24,48.14345,-69.718909
CLSC COUSINEAU,S1198,CLSC,Ambulatory health care services,Province of Québec,,5928, boulevard Cousineau,J3Y 7R9,Longueuil,qc,"5928, boulevard Cousineau",Longueuil,2458227,24,45.497178,-73.409061
CLSC DE LA POINTE,S1199,CLSC,Ambulatory health care services,Province of Québec,,243, 1er rue,G9N 1K2,Shawinigan,qc,"243, 1er rue",Shawinigan,2436033,24,46.53759,-72.745168
Moncton North After Hours Medical Clinic,S12,clinic,Ambulatory health care services,City of Moncton,,1633,Mountain Road,J0S 1K0,Moncton,nb,,Moncton,1307022,13,46.11740961,-64.83905474
w. g. Bishop Nursing Home,S120,,Nursing and residential care facilities,Province of New Brunswick,,1100,  Pleasant Drive,E4B 2V7,Minto,nb,"1100,  Pleasant Drive",Minto,1304022,13,46.09797,-66.049214
CLSC DE SAINTE-ANNE-DES-PLAINES,S1200,CLSC,Ambulatory health care services,Province of Québec,,482, boulevard Sainte-Anne,J0N 1H0,Sainte-Anne-des-Plaines,qc,"482, boulevard Sainte-Anne",Sainte-Anne-des-Plaines,2473035,24,45.76732,-73.814954
CENTRE DE SERVICES AMBULATOIRES DE LÉVIS,S1201,CHSGS,Hospitals,Province of Québec,,106, rue Jean-XXIII,G6V 2K1,Lévis,qc,"106, rue Jean-XXIII",Lévis,2425213,24,46.81568,-71.174936
AIRE OUVERTE SAURIOL,S1202,CLSC,Ambulatory health care services,Province of Québec,,2169, rue Sauriol E,H2B 1G1,Montréal,qc,"2169, rue Sauriol E",Montréal,2466023,24,45.570888,-73.647774
CLSC SAINT-JOSEPH,S1203,CLSC,Ambulatory health care services,Province of Québec,,230, boulevard Saint-Joseph,J2E 1A2,Drummondville,qc,"230, boulevard Saint-Joseph, bureau 100",Drummondville,2449058,24,45.904245,-72.530482
CLSC DE LA PATRIE,S1204,CLSC,Ambulatory health care services,Province of Québec,,40, rue du Moulin,J0B 1Y0,La Patrie,qc,"40, rue du Moulin",La Patrie,2441027,24,45.399448,-71.251277
CLSC DE COOKSHIRE,S1205,CLSC,Ambulatory health care services,Province of Québec,,700, rue Craig Nord,J0B 1M0,Cookshire-Eaton,qc,"700, rue Craig Nord",Cookshire-Eaton,2441038,24,45.421328,-71.633403
CLSC LES MÉCHINS,S1206,CLSC,Ambulatory health care services,Province of Québec,,110, rue Pelletier,G0J 1T0,Les Méchins,qc,"110, rue Pelletier",Les Méchins,2408005,24,49.000641,-66.979777
CLSC DE BAIE-DES-SABLES,S1207,CLSC,Ambulatory health care services,Province of Québec,,20, rue du Couvent,G0J 1C0,Baie-des-Sables,qc,"20, rue du Couvent",Baie-des-Sables,2408080,24,48.720872,-67.893784
CLSC DE GRACEFIELD,S1208,CLSC,Ambulatory health care services,Province of Québec,,12A, rue Principale,J0X 1W0,Gracefield,qc,"12A, rue Principale",Gracefield,2483032,24,46.091782,-76.051944
CLSC DE VAL-DES-BOIS,S1209,CLSC,Ambulatory health care services,Province of Québec,,601, route 309,J0X 3C0,Val-des-Bois,qc,"601, route 309",Val-des-Bois,2480140,24,45.916166,-75.591944
York Manor Inc.,S121,,Nursing and residential care facilities,Province of New Brunswick,,100, Sunset Drive,E3A 1A3,Fredericton,nb,"100, Sunset Drive",Fredericton,1310032,13,45.9778,-66.6864
CLSC DE LES HAUTEURS,S1210,CLSC,Ambulatory health care services,Province of Québec,,54, rue de l'Église,G0K 1C0,Les Hauteurs,qc,"54, rue de l'Église",Les Hauteurs,2409015,24,48.377583,-68.112899
CLSC CHÂTEAUGUAY (POINT DE SERVICE),S1211,CLSC,Ambulatory health care services,Province of Québec,,177, rue Saint-Joseph,J0S 1V0,Sainte-Martine,qc,"177, rue Saint-Joseph",Sainte-Martine,2470012,24,45.247658,-73.801023
HÔPITAL DE GASPÉ,S1212,CHSGS,Hospitals,Province of Québec,,215, boulevard de York Ouest,G4X 2W2,Gaspé,qc,"215, boulevard de York Ouest",Gaspé,2403005,24,48.812942,-64.496646
CLINIQUE COMMUNAUTAIRE DE POINTE ST-CHARLES (POINT DE SERVICE),S1213,CLSC,Ambulatory health care services,Province of Québec,,1955, rue Centre,H3K 1J1,Montréal,qc,"1955, rue Centre",Montréal,2466023,24,45.482376,-73.563478
CLSC DE SAINT-CHRYSOSTOME,S1214,CLSC,Ambulatory health care services,Province of Québec,,21, rang Sainte-Anne,J0S 1R0,Saint-Chrysostome,qc,"21, rang Sainte-Anne",Saint-Chrysostome,2469017,24,45.105751,-73.762379
CLSC DE CHAPEAU,S1215,CLSC,Ambulatory health care services,Province of Québec,,72, rue Saint-Patrick,J0X 1M0,L'Isle-aux-Allumettes,qc,"72, rue Saint-Patrick",L'Isle-aux-Allumettes,2484082,24,45.910396,-77.072947
CLSC DE PERCÉ,S1216,CLSC,Ambulatory health care services,Province of Québec,,98, Route 132,G0C 2L0,Percé,qc,"98, Route 132",Percé,2402005,24,48.526594,-64.21357
CLSC DE LA TABATIÈRE,S1217,CLSC,Ambulatory health care services,Province of Québec,,40," route Mécatina, La Tabatière",G0G 1T0,Gros-Mécatina,qc,"40, route Mécatina, La Tabatière",Gros-Mécatina,2498014,24,50.833094,-58.966116
CLSC DE SAINT-AUGUSTIN,S1218,CLSC,Ambulatory health care services,Province of Québec,,264, avenue du Plateau,G0G 2R0,Saint-Augustin,qc,"264, avenue du Plateau",Saint-Augustin,2498012,24,51.223354,-58.643136
CLSC DE RIVIÈRE-SAINT-PAUL,S1219,CLSC,Ambulatory health care services,Province of Québec,,321," boul. Bonne-Espérance, Riv.-Saint-",G0G 2P0,Bonne-Espérance,qc,"321, boul. Bonne-Espérance, Riv.-Saint-",Bonne-Espérance,2498010,24,51.475099,-57.709977
FOYER NOTRE-DAME DE SAINT-LÉONARD INC.,S122,,Nursing and residential care facilities,Province of New Brunswick,,604, rue Principal,E7E 2H5,Saint Léonard,nb,"604, rue Principal",Saint-Léonard,1313006,13,47.167088,-67.928274
CLSC DE DISRAELI,S1220,CLSC,Ambulatory health care services,Province of Québec,,245, avenue Montcalm,G0N 1E0,Disraeli,qc,"245, avenue Montcalm",Disraeli,2431015,24,45.899003,-71.355201
CLSC DE DÉGELIS,S1221,CLSC,Ambulatory health care services,Province of Québec,,103, 7e Rue Est,G5T 1Y6,Dégelis,qc,"103, 7e Rue Est",Dégelis,2413005,24,47.548213,-68.642451
CLSC DE GASCONS,S1222,CLSC,Ambulatory health care services,Province of Québec,,63, Route 132,G0C 1P0,Port-Daniel--Gascons,qc,"63, Route 132",Port-Daniel--Gascons,2402047,24,48.193555,-64.864575
CENTRE DE SERVICES AMBULATOIRES EN SANTÉ MENTALE MOUSSETTE,S1223,CHSGS,Hospitals,Province of Québec,,73, boulevard Moussette,J8Y 5J8,Gatineau,qc,"73, boulevard Moussette",Gatineau,2481017,24,45.439517,-75.743786
CLSC DE SAYABEC,S1224,CLSC,Ambulatory health care services,Province of Québec,,7, boulevard Joubert Ouest,G0J 3K0,Sayabec,qc,"7, boulevard Joubert Ouest",Sayabec,2407085,24,48.564506,-67.687196
CLSC DE POINTE-À-LA-CROIX,S1225,CLSC,Ambulatory health care services,Province of Québec,,48, boulevard Interprovincial,G0C 1L0,Pointe-à-la-Croix,qc,"48, boulevard Interprovincial",Pointe-à-la-Croix,2406030,24,48.019513,-66.693122
CLSC DE BEAUHARNOIS,S1226,CLSC,Ambulatory health care services,Province of Québec,,142, rue Saint-Laurent,J6N 1V9,Beauharnois,qc,"142, rue Saint-Laurent",Beauharnois,2470022,24,45.31471,-73.877738
CLSC DE MUTTON BAY,S1227,CLSC,Ambulatory health care services,Province of Québec,,46," route Mécatina, Mutton Bay",G0G 2C0,Gros-Mécatina,qc,"46, route Mécatina, Mutton Bay",Gros-Mécatina,2498014,24,50.774191,-59.026923
CLSC DE KEGASKA,S1228,CLSC,Ambulatory health care services,Province of Québec,,90," chemin Normand, Kegaska",G0G 1S0,Côte-Nord-du-Golfe-du-Saint-Laurent,qc,"90, chemin Normand, Kegaska",Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,24,50.188766,-61.272215
CLSC DE CHEVERY,S1229,CLSC,Ambulatory health care services,Province of Québec,,16," chemin Netagamiou, Chevery",G0G 1G0,Côte-Nord-du-Golfe-du-Saint-Laurent,qc,"16, chemin Netagamiou, Chevery",Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,24,50.465043,-59.635462
Foyer Ste. Elizabeth Inc.,S123,,Nursing and residential care facilities,Province of New Brunswick,,25, rue des Ormes,E7A 2J6,Baker Brook,nb,"25, rue des Ormes",Baker-Brook,1313035,13,47.306533,-68.511089
CLSC DE TÊTE-À-LA-BALEINE,S1230,CLSC,Ambulatory health care services,Province of Québec,,23, rue des Cormorans,G0G 2W0,Côte-Nord-du-Golfe-du-Saint-Laurent,qc,"23, rue des Cormorans, Tête-à-la-Balei",Côte-Nord-du-Golfe-du-Saint-Laurent,2498015,24,50.700746,-59.32381
CLSC DE SAINT-CLÉMENT,S1231,CLSC,Ambulatory health care services,Province of Québec,,25, rue Saint-Pierre,G0L 2N0,Saint-Clément,qc,"25, rue Saint-Pierre",Saint-Clément,2411005,24,47.923521,-69.097136
CLSC DE BOUCHERVILLE,S1232,CLSC,Ambulatory health care services,Province of Québec,,160, boulevard de Montarville,J4B 6S2,Boucherville,qc,"160, boulevard de Montarville",Boucherville,2458033,24,45.602808,-73.452453
CLSC DE WATERLOO,S1233,CLSC,Ambulatory health care services,Province of Québec,,48, rue Young,J0E 2N0,Waterloo,qc,"48, rue Young",Waterloo,2447025,24,45.345208,-72.518674
CENTRE DE SERVICES AMBULATOIRES EN SANTÉ MENTALE DE RAWDON,S1234,CHSGS,Hospitals,Province of Québec,,3570, rue Church,J0K 1S0,Rawdon,qc,"3570, rue Church",Rawdon,2462037,24,46.041693,-73.702641
CLSC DE CÔTE-DES-NEIGES,S1235,CLSC,Ambulatory health care services,Province of Québec,,1271, avenue Van Horne,H2V 1K5,Montréal,qc,"1271, avenue Van Horne",Montréal,2466023,24,45.521866,-73.614018
CLSC D'EAST BROUGHTON,S1236,CLSC,Ambulatory health care services,Province of Québec,,763, 10e avenue Nord,G0N 1H0,East Broughton,qc,"763, 10e avenue Nord",East Broughton,2431122,24,46.229204,-71.081576
CLSC DE CAPLAN,S1237,CLSC,Ambulatory health care services,Province of Québec,,96, boulevard Perron Ouest,G0C 1H0,Caplan,qc,"96, boulevard Perron Ouest",Caplan,2405060,24,48.105149,-65.693543
CLSC DE COWANSVILLE-SUD,S1238,CLSC,Ambulatory health care services,Province of Québec,,112, rue du Sud,J2K 2X2,Cowansville,qc,"112, rue du Sud",Cowansville,2446080,24,45.206637,-72.748194
CLSC DE SAINT-OMER,S1239,CLSC,Ambulatory health care services,Province of Québec,,102, boulevard Perron,G0C 2Z0,Carleton-sur-Mer,qc,"102, boulevard Perron",Carleton-sur-Mer,2406013,24,48.10998,-66.221682
GRAND FALLS MANOR INC. - VILLA DES CHUTES/FALLS VILLA,S124,,Nursing and residential care facilities,Province of New Brunswick,,433, rue Evangeline,E3Z 1G5,Grand-Sault,nb,"433, rue Evangeline",Grand Falls / Grand-Sault,1312019,13,47.055672,-67.725822
CLSC DE NAPIERVILLE,S1240,CLSC,Ambulatory health care services,Province of Québec,,509, rue Saint-Jacques,J0J 1L0,Napierville,qc,"509, rue Saint-Jacques",Napierville,2468030,24,45.192681,-73.413413
CLSC DE LAC-DES-AIGLES,S1241,CLSC,Ambulatory health care services,Province of Québec,,69, rue Principale,G0K 1V0,Lac-des-Aigles,qc,"69, rue Principale",Lac-des-Aigles,2413060,24,47.988448,-68.676718
CLSC D'ADSTOCK,S1242,CLSC,Ambulatory health care services,Province of Québec,,52, rue du Parc,G0N 1S0,Adstock,qc,"52, rue du Parc",Adstock,2431056,24,46.045366,-71.079432
CLSC DE SAINT-DONAT,S1243,CLSC,Ambulatory health care services,Province of Québec,,377, rue du Foyer,J0T 2C0,Saint-Donat,qc,"377, rue du Foyer",Saint-Donat,2462060,24,46.321616,-74.22233
CLSC DE DONNACONA,S1244,CLSC,Ambulatory health care services,Province of Québec,,400, Route 138,G3M 1C3,Donnacona,qc,"400, Route 138",Donnacona,2434025,24,46.680646,-71.723852
HÔPITAL DE GATINEAU,S1245,CHSGS,Hospitals,Province of Québec,,909, boulevard La Vérendrye Ouest,J8P 7H2,Gatineau,qc,"909, boulevard La Vérendrye Ouest",Gatineau,2481017,24,45.493296,-75.691064
CLSC DE SAINT-ANTOINE-DE-L'ISLE-AUX-GRUES,S1246,CLSC,Ambulatory health care services,Province of Québec,,101, rue de la Volière,G0R 1P0,Saint-Antoine-de-l'Isle-aux-Grues,qc,"101, rue de la Volière",Saint-Antoine-de-l'Isle-aux-Grues,2418070,24,47.067532,-70.540841
CLSC DE SAINT-GÉDÉON-DE-BEAUCE,S1247,CLSC,Ambulatory health care services,Province of Québec,,127, 1ère rue Sud,G0M 1T0,Saint-Gédéon-de-Beauce,qc,"127, 1ère rue Sud, 4e étage",Saint-Gédéon-de-Beauce,2429013,24,45.852553,-70.64092
CLSC DE RAPIDES-DES-JOACHIMS,S1248,CLSC,Ambulatory health care services,Province of Québec,,48A, rue de l'Église,J0X 3M0,Rapides-des-Joachims,qc,"48A, rue de l'Église",Rapides-des-Joachims,2484100,24,46.197921,-77.689565
CLSC VICTOR-LACHANCE,S1249,CLSC,Ambulatory health care services,Province of Québec,,102, rue Jacques-Cartier,G0G 1A0,Aguanish,qc,"102, rue Jacques-Cartier",Aguanish,2498030,24,50.221974,-62.079164
Jordan Lifecare Centre Inc.,S125,,Nursing and residential care facilities,Province of New Brunswick,,747, Sanatorium Road,E4J 1W6,The Glades,nb,"747, Sanatorium Road",Salisbury,1307024,13,45.937727,-65.079568
CLSC DE BAIE-JOHAN-BEETZ,S1250,CLSC,Ambulatory health care services,Province of Québec,,24, rue Johan-Beetz,G0G 1B0,Baie-Johan-Beetz,qc,"24, rue Johan-Beetz",Baie-Johan-Beetz,2498035,24,50.288803,-62.803901
CLSC DE NATASHQUAN,S1251,CLSC,Ambulatory health care services,Province of Québec,,47, chemin d'en Haut,G0G 2E0,Natashquan,qc,"47, chemin d'en Haut",Natashquan,2498025,24,50.185952,-61.820573
